UF,Ano,Taxa_Abandono_Media,Taxa_Abandono_EF,Taxa_Abandono_EM,Taxa_Reprovacao_Media,Taxa_Reprovacao_EF,Taxa_Reprovacao_EM,IDHM,Taxa_Desemprego,Renda_Per_Capita,Indice_Gini_x,Taxa_Gravidez_Adolescente_x,PIB_Total_MilReais_x,Indice_Gini_y,Taxa_Gravidez_Adolescente_y,PIB_Total_MilReais_y
Amazonas,2022,3.35,2.4,4.3,4.4,4.4,4.4,0.7,10.1,947.0,0.509,19.67,145140465.0,0.509,19.67,145140465.0
Roraima,2022,3.9,1.9,5.9,5.25,4.3,6.2,0.699,4.6,1246.0,0.547,17.34,21095342.0,0.547,17.34,21095342.0
Pará,2022,4.45,3.1,5.8,9.15,10.2,8.1,0.69,8.2,1063.0,0.508,20.55,236141874.0,0.508,20.55,236141874.0
Amapá,2022,2.35,1.7,3.0,9.05,9.5,8.6,0.688,13.4,1163.0,0.531,19.53,23614291.0,0.531,19.53,23614291.0
Tocantins,2022,1.05,0.5,1.6,3.5,3.6,3.4,0.731,5.2,1358.0,0.507,16.79,58208795.0,0.507,16.79,58208795.0
Maranhão,2022,2.55,1.7,3.4,4.0,4.4,3.6,0.676,8.4,833.0,0.491,19.59,139789146.0,0.491,19.59,139789146.0
Piauí,2022,1.95,1.3,2.6,3.75,4.9,2.6,0.69,9.5,1092.0,0.518,15.29,72834504.0,0.518,15.29,72834504.0
Ceará,2022,0.4499999999999999,0.3,0.6,0.5,0.6,0.4,0.734,7.8,1037.0,0.518,13.11,213600674.0,0.518,13.11,213600674.0
Rio Grande do Norte,2022,2.8,2.0,3.6,10.05,11.1,9.0,0.728,10.0,1235.0,0.526,12.49,93819291.0,0.526,12.49,93819291.0
Paraíba,2022,3.4,2.2,4.6,5.6,5.6,5.6,0.698,10.3,1086.0,0.558,14.45,86094173.0,0.558,14.45,86094173.0
Pernambuco,2022,1.0,0.8,1.2,4.0,4.4,3.6,0.719,12.3,991.0,0.515,14.92,245828017.0,0.515,14.92,245828017.0
Alagoas,2022,2.5,1.6,3.4,4.95,4.7,5.2,0.684,9.4,922.0,0.498,17.46,76065806.0,0.498,17.46,76065806.0
Sergipe,2022,2.55,1.7,3.4,11.3,11.0,11.6,0.702,12.0,1150.0,0.528,14.76,57372241.0,0.528,14.76,57372241.0
Bahia,2022,4.0,2.9,5.1,8.75,8.9,8.6,0.691,13.5,1000.0,0.511,14.29,402646606.0,0.511,14.29,402646606.0
Minas Gerais,2022,1.5499999999999998,0.8,2.3,4.3,3.5,5.1,0.774,5.8,1505.0,0.466,10.0,906730670.0,0.466,10.0,906730670.0
Espírito Santo,2022,0.65,0.5,0.8,4.8,5.1,4.5,0.771,7.3,1663.0,0.493,11.0,182548590.0,0.493,11.0,182548590.0
Rio de Janeiro,2022,1.2000000000000002,0.8,1.6,6.95,7.0,6.9,0.762,11.4,1928.0,0.54,11.12,1153512155.0,0.54,11.12,1153512155.0
São Paulo,2022,0.8500000000000001,0.4,1.3,2.0,1.5,2.5,0.806,7.7,2073.0,0.5,8.36,3130333203.0,0.5,8.36,3130333203.0
Paraná,2022,0.8500000000000001,0.4,1.3,5.15,4.4,5.9,0.769,5.2,1802.0,0.47,10.02,614610848.0,0.47,10.02,614610848.0
Santa Catarina,2022,0.65,0.3,1.0,5.800000000000001,5.2,6.4,0.792,3.3,1958.0,0.419,8.59,466274103.0,0.419,8.59,466274103.0
Rio Grande do Sul,2022,1.85,1.0,2.7,5.5,5.9,5.1,0.771,4.6,2033.0,0.467,8.66,593633656.0,0.467,8.66,593633656.0
Mato Grosso do Sul,2022,1.15,0.7,1.6,7.35,8.2,6.5,0.742,3.3,1796.0,0.478,14.29,166407329.0,0.478,14.29,166407329.0
Mato Grosso,2022,1.05,0.5,1.6,2.65,1.3,4.0,0.736,3.6,1623.0,0.45,14.07,255527297.0,0.45,14.07,255527297.0
Goiás,2022,0.7,0.5,0.9,2.3,2.6,2.0,0.737,6.7,1588.0,0.456,11.65,318586149.0,0.456,11.65,318586149.0
Distrito Federal,2022,1.1,0.6,1.6,6.75,4.8,8.7,0.814,10.3,2802.0,0.536,7.91,328789563.0,0.536,7.91,328789563.0
